AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,14.808894,16.523632,19.94965,19.648129,16.758158
17,1.0,20.838367,19.988475,19.424113,15.745395,17.670819
17,2.0,64.35274,63.487893,60.626237,64.606476,65.571023
22,0.0,26.436762,25.970496,25.811538,26.527612,24.837981
22,1.0,15.364807,14.41014,13.816496,13.101109,12.853919
22,2.0,58.198431,59.619364,60.371966,60.37128,62.308099
27,0.0,26.284794,26.724057,26.47582,25.649433,25.391821
27,1.0,15.314782,14.527626,13.647863,12.762407,12.498967
27,2.0,58.400425,58.748317,59.876317,61.58816,62.109212
32,0.0,25.321268,24.408254,25.731643,25.018052,24.760829
32,1.0,15.232044,15.41446,14.971026,14.259898,13.85957
32,2.0,59.446688,60.177286,59.297332,60.722049,61.3796
37,0.0,24.596422,23.884476,23.594002,23.571998,23.969336
37,1.0,14.550306,15.298747,14.847169,14.513211,14.709277
37,2.0,60.853272,60.816777,61.558829,61.914791,61.321387
42,0.0,23.296239,22.66309,22.197148,22.542094,22.260746
42,1.0,15.279415,15.379307,15.386753,15.212104,15.149622
42,2.0,61.424346,61.957603,62.416099,62.245802,62.589633
47,0.0,22.200454,22.61366,22.024714,21.703738,21.911551
47,1.0,16.89844,16.201876,15.882545,15.695663,15.36407
47,2.0,60.901106,61.184464,62.092741,62.600599,62.724379
52,0.0,21.872376,22.787871,22.867819,22.389976,22.056659
52,1.0,16.895151,17.196225,16.904605,16.836965,16.470663
52,2.0,61.232473,60.015904,60.227575,60.773059,61.472677
57,0.0,21.952812,22.500296,22.868216,23.621892,22.927349
57,1.0,15.182097,15.9388,15.643577,15.288902,15.744953
57,2.0,62.865091,61.560904,61.488207,61.089206,61.327698
62,0.0,20.736471,20.895581,21.108033,21.245606,21.852225
62,1.0,14.969865,14.958582,15.180368,14.565795,14.704966
62,2.0,64.293665,64.145836,63.711598,64.188599,63.442809
67,0.0,18.798353,20.706676,21.978735,19.373635,19.317593
67,1.0,12.274687,13.141439,11.821912,12.023338,12.686542
67,2.0,68.92696,66.151886,66.199353,68.603027,67.995865
72,0.0,21.319573,21.162774,23.37874,20.543533,17.328061
72,1.0,10.051846,11.649011,11.391193,12.195909,10.413571
72,2.0,68.62858,67.188215,65.230067,67.260557,72.258368
77,0.0,18.610694,19.594844,22.85328,19.866807,14.641564
77,1.0,8.582352,9.739094,8.249748,5.750608,7.759104
77,2.0,72.806954,70.666062,68.896972,74.382586,77.599332
