HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,17.772761,16.685516,16.294731,16.399709,16.456654
H,1.0,2.857253,2.520174,2.375995,2.453337,2.525311
H,2.0,79.369986,80.79431,81.329274,81.146954,81.018034
L,0.0,13.587574,12.928459,12.512815,12.614005,11.512123
L,1.0,29.365641,30.299337,29.948666,31.476809,32.02457
L,2.0,57.046785,56.772204,57.53852,55.909186,56.463306
M,0.0,18.606546,18.195678,17.73756,17.95166,18.052941
M,1.0,17.713567,17.922303,17.842978,17.483161,17.649336
M,2.0,63.679886,63.882019,64.419461,64.565179,64.297724
