AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,0.71,1.541,1.997,1.19,0.987
17,1.0,0.667,0.685,0.79,0.944,1.739
17,2.0,3.256,3.081,2.185,3.909,4.626
22,0.0,17.514,19.375,19.98,20.516,25.742
22,1.0,8.037,8.869,6.647,5.977,10.198
22,2.0,36.642,41.894,46.29,47.047,44.173
27,0.0,41.04,43.898,52.09,48.573,46.637
27,1.0,32.007,24.729,21.925,21.046,20.29
27,2.0,91.374,92.988,93.179,95.946,93.349
32,0.0,65.193,61.904,61.485,65.983,66.903
32,1.0,37.589,36.858,39.641,34.105,33.06
32,2.0,150.781,148.905,138.729,147.119,139.576
37,0.0,78.751,78.889,85.633,79.496,73.08
37,1.0,48.618,49.677,45.914,41.573,43.17
37,2.0,190.164,175.781,175.847,182.489,171.187
42,0.0,86.762,88.848,84.482,83.835,84.159
42,1.0,51.401,52.296,52.223,52.163,49.044
42,2.0,225.758,218.454,219.327,211.877,209.441
47,0.0,79.697,74.88,82.731,83.208,79.662
47,1.0,61.826,54.921,56.879,56.643,57.747
47,2.0,210.425,221.459,212.58,220.356,219.631
52,0.0,69.234,77.746,83.302,78.304,73.158
52,1.0,55.406,55.22,56.132,52.333,53.322
52,2.0,187.877,182.659,187.901,207.055,218.187
57,0.0,62.377,63.602,64.338,65.322,64.807
57,1.0,39.511,37.882,34.16,42.58,45.041
57,2.0,138.744,145.997,159.581,160.951,173.798
62,0.0,31.218,31.656,38.488,46.727,43.393
62,1.0,20.687,21.513,22.912,21.383,23.491
62,2.0,84.564,94.306,89.806,99.032,105.64
67,0.0,6.104,6.213,6.534,7.582,7.595
67,1.0,3.465,4.133,3.401,5.42,5.648
67,2.0,22.356,20.951,21.493,24.813,30.48
72,0.0,3.989,3.525,3.298,1.576,2.133
72,1.0,1.009,1.546,1.142,0.71,1.081
72,2.0,7.426,6.449,4.047,5.804,8.366
77,0.0,0.71,1.033,1.494,2.204,0.712
77,1.0,0.507,0.168,0.328,0.298,x
77,2.0,2.671,2.283,2.214,1.742,2.35
