SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,349.972,360.043,345.419,352.451,306.929
1,1.0,216.571,238.684,222.812,222.993,202.724
1,2.0,1759.44,1801.925,1902.228,1883.033,2009.869
2,0.0,382.295,364.416,376.317,368.277,383.861
2,1.0,71.665,87.492,92.636,90.186,70.76
2,2.0,1448.254,1540.756,1545.788,1568.941,1655.716
