FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,418.868,419.428,450.391,455.579,431.54
1,1.0,230.908,225.464,225.621,230.897,235.489
1,2.0,1144.628,1133.566,1132.753,1184.734,1200.799
2,0.0,124.431,133.683,135.461,128.939,137.428
2,1.0,129.824,123.033,116.471,104.278,108.34
2,2.0,207.408,221.642,220.427,223.405,220.006
