AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,34.949,29.673,38.61,28.565,23.235
17,1.0,10.02,11.176,8.562,12.533,12.336
17,2.0,56.96,49.011,43.581,53.32,43.503
22,0.0,72.245,74.577,58.912,56.763,57.011
22,1.0,26.082,33.614,25.96,28.763,33.853
22,2.0,154.967,143.733,153.437,181.006,154.743
27,0.0,63.511,53.426,65.7,58.793,59.806
27,1.0,37.821,31.509,33.468,37.698,28.263
27,2.0,182.672,187.61,182.328,214.19,204.099
32,0.0,38.867,59.11,43.956,42.64,43.968
32,1.0,30.223,37.545,28.803,28.404,37.007
32,2.0,211.108,190.236,219.225,231.739,215.151
37,0.0,41.696,35.79,33.403,38.359,39.019
37,1.0,25.135,25.436,26.527,27.93,30.174
37,2.0,192.034,189.163,199.879,208.41,214.52
42,0.0,42.405,45.297,39.73,34.724,39.39
42,1.0,37.332,33.103,22.939,31.134,28.405
42,2.0,213.861,209.156,209.826,192.963,189.731
47,0.0,39.182,50.239,32.192,37.992,47.109
47,1.0,29.744,31.097,35.673,33.472,34.884
47,2.0,263.463,227.527,239.911,233.221,236.868
52,0.0,42.34,34.928,37.887,43.486,36.75
52,1.0,40.596,29.113,35.844,41.187,37.595
52,2.0,236.308,270.14,252.419,255.9,255.402
57,0.0,30.519,41.787,35.136,48.024,34.854
57,1.0,23.356,29.37,30.455,38.726,23.917
57,2.0,201.73,184.539,197.085,189.466,214.408
62,0.0,23.995,13.633,23.165,21.422,24.065
62,1.0,23.332,26.246,14.323,27.453,30.206
62,2.0,87.72,114.447,120.969,110.003,117.417
67,0.0,13.146,6.976,8.856,7.215,7.594
67,1.0,7.435,12.271,9.493,5.656,7.464
67,2.0,40.823,42.783,43.825,29.89,40.737
72,0.0,2.967,x,3.142,5.082,0.909
72,1.0,2.94,5.564,6.064,4.833,0.552
72,2.0,12.972,10.87,15.51,16.095,18.567
77,0.0,0.584,0.84,1.768,0.583,0.539
77,1.0,0.697,2.568,x,5.482,2.032
77,2.0,4.774,1.535,5.539,2.163,3.484
