HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,156.22,175.335,171.94,177.661,191.28
H,1.0,15.107,17.663,18.167,18.686,21.112
H,2.0,695.753,737.385,756.519,822.627,845.489
L,0.0,191.104,176.237,191.163,182.309,165.102
L,1.0,336.116,344.897,346.06,342.183,340.784
L,2.0,796.965,774.404,798.29,797.161,793.611
M,0.0,640.405,621.99,630.256,657.106,661.096
M,1.0,219.755,235.2,224.138,207.611,215.442
M,2.0,1166.054,1155.111,1175.564,1178.02,1172.867
