SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,351.172,363.823,373.647,392.819,392.426
1,1.0,382.303,406.653,402.802,386.032,388.518
1,2.0,1634.991,1630.27,1666.871,1696.949,1710.172
2,0.0,636.557,609.739,619.712,624.256,625.051
2,1.0,188.675,191.106,185.563,182.447,188.82
2,2.0,1023.781,1036.629,1063.502,1100.859,1101.796
