NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,0.287,5.708,2.358,3.375,0.623
A,1.0,31.005,34.522,29.057,28.231,18.07
A,2.0,16.353,12.156,18.264,16.943,8.398
B,0.0,3.532,3.951,3.462,7.579,4.649
B,1.0,8.117,13.029,6.172,9.967,6.822
B,2.0,42.645,41.431,44.064,50.316,38.147
C,0.0,22.8,20.526,23.441,14.741,18.843
C,1.0,45.542,49.45,44.536,59.144,40.822
C,2.0,167.119,136.086,150.334,136.789,126.158
D,0.0,6.536,5.234,5.441,5.236,3.866
D,1.0,4.232,5.004,5.454,0.501,6.685
D,2.0,14.468,13.826,17.645,21.82,12.61
E,0.0,2.428,0.634,0.976,0.823,1.882
E,1.0,2.204,1.686,2.319,3.922,4.261
E,2.0,17.157,18.03,10.443,21.346,16.723
F,0.0,10.1,8.979,6.401,9.83,9.912
F,1.0,75.055,68.012,81.778,99.368,92.378
F,2.0,83.385,97.325,102.848,87.895,105.454
G,0.0,190.277,172.866,175.143,178.611,165.687
G,1.0,33.484,34.141,29.52,23.225,30.776
G,2.0,135.922,117.39,132.055,137.496,141.122
H,0.0,10.938,6.488,13.212,9.237,6.691
H,1.0,13.185,16.906,12.004,8.274,12.777
H,2.0,90.103,100.849,102.659,100.052,101.325
I,0.0,13.855,16.92,18.866,12.675,17.261
I,1.0,8.028,3.695,5.755,9.469,9.16
I,2.0,146.986,128.829,131.092,144.59,139.73
J,0.0,9.205,10.795,11.436,6.21,11.214
J,1.0,1.567,1.538,0.669,1.272,x
J,2.0,67.204,55.667,71.153,66.387,53.802
K,0.0,44.001,59.149,42.973,42.879,31.629
K,1.0,0.328,x,x,x,x
K,2.0,54.032,51.178,57.65,58.911,57.706
L,0.0,6.373,3.3,3.175,5.414,9.041
L,1.0,4.607,x,4.724,4.437,1.01
L,2.0,21.421,17.991,9.736,20.607,14.646
M,0.0,17.362,23.997,23.726,27.021,30.146
M,1.0,6.139,4.658,6.25,4.046,3.335
M,2.0,98.946,124.888,117.5,119.338,123.41
N,0.0,25.832,27.204,28.46,26.755,29.293
N,1.0,32.775,30.469,24.834,34.784,47.029
N,2.0,59.499,68.883,64.499,81.338,67.729
O,0.0,27.34,36.558,18.275,20.689,32.583
O,1.0,4.711,4.556,2.916,6.146,6.603
O,2.0,125.038,147.178,158.654,135.651,165.722
P,0.0,6.16,6.32,12.764,8.903,6.518
P,1.0,5.501,5.63,3.864,3.671,5.224
P,2.0,226.241,215.645,238.002,217.383,220.527
Q,0.0,32.31,17.37,20.332,32.899,20.458
Q,1.0,7.777,20.412,11.699,15.612,11.919
Q,2.0,357.015,348.976,350.722,357.81,383.1
R,0.0,10.782,14.326,6.218,7.235,7.253
R,1.0,5.221,3.911,1.455,2.56,0.747
R,2.0,57.011,63.797,42.411,63.737,69.191
S,0.0,5.443,5.95,3.058,2.819,5.369
S,1.0,3.088,8.544,5.105,7.744,7.425
S,2.0,67.545,56.925,55.578,71.78,59.939
T,1.0,0.827,x,x,x,x
T,2.0,2.722,2.113,2.953,2.602,0.66
U,0.0,x,x,0.954,0.719,0.625
U,2.0,4.46,0.618,1.68,3.387,2.529
