SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,338.474,314.223,319.678,352.664,341.092
1,1.0,248.585,254.58,253.545,284.263,259.031
1,2.0,2025.475,2067.755,2067.377,2118.133,2132.662
2,0.0,650.746,610.399,551.601,586.912,586.163
2,1.0,235.592,180.845,206.073,227.263,204.392
2,2.0,1702.392,1786.922,1797.938,1846.143,1930.341
