SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,10.368588,12.550235,10.913977,10.358202,11.317226
1,1.0,17.635499,18.031567,16.713739,18.687283,17.330095
1,2.0,71.995913,69.418198,72.372284,70.954515,71.352679
2,0.0,24.290389,22.299863,22.117571,21.753699,20.435071
2,1.0,4.727382,5.683534,4.444235,5.189419,5.682835
2,2.0,70.982229,72.016603,73.438193,73.056882,73.882094
