NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,19.104304,10.483721,x,x,10.758056
A,1.0,8.156451,23.698457,22.835943,x,x
A,2.0,72.739244,65.817822,77.164057,100.0,89.241944
B,0.0,x,x,x,x,44.697992
B,1.0,x,x,x,x,x
B,2.0,100.0,100.0,100.0,100.0,55.302008
C,0.0,16.77487,16.117095,13.86534,16.041975,17.650282
C,1.0,3.14883,5.769116,3.925689,5.499188,4.408251
C,2.0,80.0763,78.113788,82.208971,78.458837,77.941467
D,0.0,12.141115,7.529985,3.390919,11.123465,4.774144
D,1.0,4.584112,3.886504,x,x,2.260631
D,2.0,83.274773,88.583512,96.609081,88.876535,92.965225
E,0.0,28.96575,13.122717,18.682728,7.794055,6.759925
E,1.0,9.336613,7.45165,1.872112,1.414707,14.535891
E,2.0,61.697637,79.425633,79.44516,90.791238,78.704184
F,0.0,8.476299,6.213169,3.973646,6.074694,7.504754
F,1.0,38.015543,34.979765,35.940643,40.482527,38.422425
F,2.0,53.508159,58.807066,60.08571,53.442778,54.072821
G,0.0,44.231479,50.800962,47.406843,42.317337,45.735227
G,1.0,5.779682,4.271033,4.749185,5.077123,4.7534
G,2.0,49.988838,44.928005,47.843973,52.60554,49.511373
H,0.0,11.357954,13.486928,8.393368,12.429623,6.890316
H,1.0,14.244286,10.899504,13.669002,11.139161,9.414591
H,2.0,74.39776,75.613569,77.93763,76.431217,83.695093
I,0.0,14.42429,18.42377,21.493011,13.610875,14.968545
I,1.0,3.470123,4.184302,6.806033,7.416317,1.356068
I,2.0,82.105586,77.391928,71.700955,78.972808,83.675386
J,0.0,13.050713,9.05907,10.392945,8.330121,9.585114
J,1.0,1.129597,0.897656,1.295663,1.613476,0.197241
J,2.0,85.819691,90.043274,88.311393,90.056403,90.217646
K,0.0,45.939125,32.585234,32.958845,36.305775,37.885622
K,1.0,x,0.708725,0.451577,0.216074,0.654632
K,2.0,54.060875,66.70604,66.589577,63.478151,61.459745
L,0.0,20.777995,19.266798,10.276523,17.324778,16.882713
L,1.0,x,4.312224,4.967495,15.34606,6.523252
L,2.0,79.222005,76.420978,84.755982,67.329162,76.594036
M,0.0,18.627262,17.080198,15.262929,15.484831,13.245105
M,1.0,0.322041,1.316913,0.991493,0.902778,1.207365
M,2.0,81.050697,81.60289,83.745578,83.612391,85.54753
N,0.0,14.158421,12.996639,15.100769,20.772035,17.680629
N,1.0,24.802516,23.54038,25.576416,27.625864,23.13939
N,2.0,61.039063,63.462981,59.322815,51.602101,59.179981
O,0.0,19.119561,19.081616,16.846312,17.285204,16.379087
O,1.0,6.725969,7.102351,7.130344,6.257322,7.982594
O,2.0,74.15447,73.816033,76.023344,76.457473,75.638319
P,0.0,6.062991,2.890464,5.511295,4.985282,5.51972
P,1.0,5.959267,4.069219,3.44218,4.63812,2.641816
P,2.0,87.977742,93.040317,91.046525,90.376599,91.838464
Q,0.0,5.558618,4.406548,4.979115,5.427113,5.001725
Q,1.0,15.912499,10.512958,12.735582,14.400652,10.312749
Q,2.0,78.528883,85.080494,82.285302,80.172235,84.685526
R,0.0,29.691595,7.582264,14.107554,18.633041,12.78353
R,1.0,1.407271,3.114245,3.331059,4.058695,5.592592
R,2.0,68.901134,89.303491,82.561387,77.308264,81.623878
S,0.0,18.986774,16.535015,13.127556,15.929853,17.413568
S,1.0,10.4475,6.002762,12.104504,11.829612,15.574511
S,2.0,70.565726,77.462223,74.76794,72.240535,67.011921
T,0.0,x,x,x,1.412647,x
T,1.0,41.580536,52.606155,45.443161,51.117403,54.865447
T,2.0,58.419464,47.393845,54.556839,47.469949,45.134553
U,0.0,11.864134,50.042518,36.354873,32.880199,13.402067
U,1.0,x,x,x,x,x
U,2.0,88.135866,49.957482,63.645127,67.119801,86.597933
