HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,14.78924,14.357357,14.000543,14.130617,13.656314
H,1.0,2.137547,2.649919,2.136687,1.792792,1.93747
H,2.0,83.073213,82.992724,83.86277,84.076592,84.406215
L,0.0,20.980577,19.502832,21.824696,15.818034,17.385468
L,1.0,14.679577,16.760267,18.822706,15.84105,13.077923
L,2.0,64.339846,63.736901,59.352598,68.340916,69.536609
M,0.0,20.567609,19.565987,17.936549,19.878451,16.624409
M,1.0,11.630124,12.967914,11.98668,13.037194,11.288717
M,2.0,67.802266,67.4661,70.076771,67.084355,72.086874
