FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,21.66713,21.321029,21.131402,21.553618,21.381211
1,1.0,11.874908,12.092103,12.055377,11.609141,11.782012
1,2.0,66.457962,66.586867,66.813221,66.837241,66.836778
2,0.0,31.175648,30.317778,31.540978,30.461473,30.817131
2,1.0,20.898941,23.062421,20.738319,18.953157,19.070907
2,2.0,47.925411,46.6198,47.720702,50.585369,50.111962
