INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,72.497,39.904,53.075,53.194,7.281
1.0,1.0,15.039,16.879,11.372,12.939,1.807
1.0,2.0,111.292,116.018,114.773,84.8,31.253
2.0,0.0,44.665,53.115,66.413,42.78,8.065
2.0,1.0,18.915,24.233,18.1,20.245,4.496
2.0,2.0,98.5,105.206,142.165,115.995,32.654
3.0,0.0,40.614,34.702,37.197,46.411,9.824
3.0,1.0,9.735,8.978,16.999,7.868,1.803
3.0,2.0,107.721,125.854,94.837,100.6,23.061
4.0,0.0,35.03,24.96,38.518,31.414,3.546
4.0,1.0,5.765,11.708,15.125,13.77,2.922
4.0,2.0,119.531,130.562,126.566,103.448,23.269
5.0,0.0,40.344,27.35,33.707,44.137,8.763
5.0,1.0,6.558,10.479,13.666,9.987,x
5.0,2.0,116.554,123.605,142.253,161.553,41.868
6.0,0.0,41.883,51.578,49.017,40.913,8.675
6.0,1.0,10.398,7.301,7.526,6.18,1.145
6.0,2.0,154.646,150.98,179.64,183.648,46.866
7.0,0.0,54.45,43.748,36.406,38.932,11.063
7.0,1.0,11.791,11.695,10.277,10.554,x
7.0,2.0,210.561,227.499,234.245,234.846,73.73
8.0,0.0,38.203,35.843,32.017,42.42,10.069
8.0,1.0,12.019,14.419,9.67,7.732,3.98
8.0,2.0,218.866,212.465,221.888,226.518,60.473
9.0,0.0,29.772,30.466,37.897,37.389,13.3
9.0,1.0,3.993,12.649,9.039,12.464,x
9.0,2.0,263.785,279.016,263.77,278.695,94.41
10.0,0.0,78.786,74.033,64.128,92.596,20.417
10.0,1.0,8.4,7.146,6.326,7.871,2.197
10.0,2.0,331.829,414.791,454.975,511.76,133.462
99.0,0.0,54.012,68.627,68.755,48.941,53.838
99.0,1.0,135.555,133.219,146.382,166.464,123.151
99.0,2.0,628.977,598.833,658.66,657.938,693.787
