INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,52.386,48.355,46.69,35.031,6.83
1.0,1.0,14.709,18.315,13.966,17.922,4.594
1.0,2.0,90.905,78.689,65.96,68.322,20.17
2.0,0.0,46.374,35.848,42.004,47.956,6.626
2.0,1.0,15.67,21.174,9.768,15.828,1.944
2.0,2.0,90.184,82.701,88.734,91.369,18.963
3.0,0.0,46.436,45.895,24.019,36.737,10.356
3.0,1.0,16.275,15.571,13.666,16.476,1.37
3.0,2.0,121.232,81.335,122.947,106.1,35.245
4.0,0.0,37.284,43.174,32.326,33.449,9.194
4.0,1.0,15.316,14.543,8.604,6.69,4.136
4.0,2.0,112.215,88.752,110.89,105.216,16.539
5.0,0.0,33.291,35.514,35.405,45.265,10.062
5.0,1.0,10.796,18.163,10.323,14.795,3.802
5.0,2.0,117.986,102.986,116.778,125.007,31.374
6.0,0.0,24.637,32.533,23.116,30.487,8.327
6.0,1.0,17.35,15.149,15.692,16.073,3.479
6.0,2.0,117.612,123.526,130.907,151.791,28.706
7.0,0.0,13.542,20.076,14.702,24.434,5.341
7.0,1.0,19.328,25.66,9.619,24.77,2.686
7.0,2.0,135.395,157.301,142.869,142.698,33.993
8.0,0.0,8.151,9.691,11.043,11.235,2.315
8.0,1.0,9.821,7.317,16.371,17.252,1.766
8.0,2.0,126.768,138.555,136.81,156.581,44.154
9.0,0.0,9.902,13.408,8.433,12.686,2.642
9.0,1.0,9.461,10.446,16.562,17.986,9.354
9.0,2.0,128.286,123.978,156.186,114.474,41.843
10.0,0.0,5.844,16.439,6.747,11.412,5.527
10.0,1.0,11.144,18.708,14.276,14.702,3.322
10.0,2.0,137.825,117.399,133.627,134.214,31.28
99.0,0.0,32.262,26.61,23.066,32.792,19.092
99.0,1.0,66.937,63.867,76.331,73.341,82.71
99.0,2.0,223.855,225.151,227.696,222.183,202.035
