SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,217.606,217.582,245.716,250.664,245.411
1,1.0,208.811,204.126,206.798,203.049,203.144
1,2.0,819.547,830.723,811.539,837.043,845.161
2,0.0,325.692,335.528,340.136,333.853,323.558
2,1.0,151.921,144.372,135.294,132.127,140.686
2,2.0,532.489,524.484,541.64,571.096,575.643
