HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,345.273,368.013,367.301,362.099,378.782
H,1.0,49.904,67.924,56.056,45.941,53.739
H,2.0,1939.444,2127.3,2200.123,2154.473,2341.158
L,0.0,115.196,104.47,116.091,87.77,102.473
L,1.0,80.6,89.779,100.123,87.898,77.084
L,2.0,353.264,341.416,315.712,379.207,409.861
M,0.0,262.76,242.326,236.113,270.159,208.561
M,1.0,148.58,160.608,157.79,177.183,141.622
M,2.0,866.205,835.571,922.476,911.713,904.362
