AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,13.062,14.014,14.28,12.076,16.512
17,1.0,4.533,4.736,2.871,7.749,5.07
17,2.0,29.009,16.927,24.946,30.914,34.812
22,0.0,90.198,94.247,100.459,81.517,87.25
22,1.0,23.995,24.947,18.32,21.045,23.528
22,2.0,188.071,216.672,189.736,231.188,258.617
27,0.0,141.294,132.675,124.746,129.865,119.657
27,1.0,33.558,28.637,37.847,47.984,32.832
27,2.0,451.907,471.949,481.218,471.282,510.171
32,0.0,126.857,126.66,108.52,129.762,128.45
32,1.0,50.418,55.931,45.474,45.283,29.024
32,2.0,519.566,496.484,516.384,527.573,521.862
37,0.0,134.885,104.972,120.868,138.25,117.341
37,1.0,73.439,49.188,60.722,50.528,54.082
37,2.0,502.964,544.75,514.219,545.782,541.132
42,0.0,135.718,112.277,101.049,123.053,113.96
42,1.0,68.587,54.996,66.685,63.187,83.784
42,2.0,509.669,555.258,514.212,488.755,502.182
47,0.0,116.925,113.417,91.325,112.642,115.876
47,1.0,85.724,65.567,76.21,75.462,57.19
47,2.0,459.555,486.638,503.3,490.213,519.737
52,0.0,100.877,100.473,93.418,89.859,97.685
52,1.0,67.441,67.888,73.016,82.384,86.699
52,2.0,488.058,474.19,475.892,480.254,484.507
57,0.0,83.591,76.831,74.282,85.227,86.213
57,1.0,50.205,54.564,53.146,59.935,51.389
57,2.0,371.97,371.32,408.552,412.82,410.276
62,0.0,33.112,38.961,36.415,27.363,38.244
62,1.0,21.922,26.197,21.477,49.622,31.076
62,2.0,161.944,164.515,173.671,210.709,207.437
67,0.0,7.69,8.517,3.486,6.68,4.786
67,1.0,3.724,2.775,3.851,6.082,6.163
67,2.0,38.293,39.763,43.273,50.906,50.475
72,0.0,2.113,x,2.43,1.868,1.281
72,1.0,0.631,x,x,1.43,1.552
72,2.0,5.934,11.839,16.791,16.824,19.343
77,0.0,2.896,1.579,x,1.413,x
77,1.0,x,x,x,0.834,1.032
77,2.0,0.927,4.372,3.122,7.058,2.451
