AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,1.163,2.339,3.306,4.123,5.326
17,1.0,2.342,2.949,1.865,1.156,2.911
17,2.0,8.906,8.947,11.047,14.228,16.722
22,0.0,45.954,40.742,42.918,47.534,47.871
22,1.0,23.42,19.316,23.339,21.119,19.078
22,2.0,105.294,103.483,103.412,109.241,124.777
27,0.0,83.268,87.593,94.072,88.799,90.357
27,1.0,43.486,45.021,41.155,35.644,30.898
27,2.0,219.588,210.957,221.375,239.559,234.967
32,0.0,112.563,104.845,117.967,115.734,106.939
32,1.0,65.323,64.769,56.927,56.717,53.857
32,2.0,294.492,299.695,287.163,287.555,290.374
37,0.0,151.116,137.353,111.591,117.814,130.228
37,1.0,81.238,84.257,80.245,68.823,63.718
37,2.0,378.491,368.165,375.041,365.086,334.942
42,0.0,160.198,151.143,155.084,154.486,135.871
42,1.0,90.646,101.437,99.385,92.179,93.907
42,2.0,432.679,435.59,439.15,433.764,425.478
47,0.0,161.875,166.785,150.365,145.461,155.625
47,1.0,93.247,94.056,101.917,101.259,100.21
47,2.0,430.998,426.851,439.327,442.742,442.32
52,0.0,131.05,144.255,151.717,152.734,148.8
52,1.0,82.523,85.268,88.325,93.695,101.146
52,2.0,354.983,371.017,385.206,396.164,412.591
57,0.0,92.16,91.582,108.272,127.256,124.952
57,1.0,53.579,63.829,59.024,59.612,65.382
57,2.0,258.959,260.482,277.337,292.654,311.575
62,0.0,32.593,31.886,35.889,41.918,52.515
62,1.0,27.886,25.214,26.083,28.602,36.006
62,2.0,116.034,124.638,132.014,145.483,148.615
67,0.0,9.559,9.636,13.745,13.286,13.61
67,1.0,5.245,7.595,7.366,6.615,8.192
67,2.0,33.966,31.273,36.029,46.377,45.359
72,0.0,4.829,3.146,3.331,5.394,4.776
72,1.0,1.849,2.981,1.284,2.505,1.72
72,2.0,18.225,20.061,15.088,17.254,17.889
77,0.0,1.401,2.258,5.103,2.537,0.608
77,1.0,0.193,1.069,1.449,0.555,0.312
77,2.0,6.157,5.742,8.187,7.702,6.359
