SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,137.982,164.882,145.229,141.936,152.8
1,1.0,234.688,236.895,222.405,256.067,233.983
1,2.0,958.101,912.0,963.036,972.27,963.372
2,0.0,308.425,281.393,277.229,281.713,261.449
2,1.0,60.026,71.718,55.705,67.204,72.707
2,2.0,901.291,908.749,920.498,946.095,945.256
