HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,156.38,183.583,160.082,159.034,157.257
H,1.0,50.677,58.682,54.053,53.423,47.477
H,2.0,947.809,954.52,971.133,1006.044,966.302
L,0.0,93.356,81.635,100.306,87.757,82.09
L,1.0,77.493,84.473,81.69,108.741,97.367
L,2.0,258.535,247.844,317.342,313.746,348.831
M,0.0,185.467,165.524,159.354,176.166,174.902
M,1.0,156.156,156.44,139.976,160.321,157.904
M,2.0,603.858,568.553,588.026,591.141,587.877
