HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,448.769,385.51,399.432,418.516,441.208
H,1.0,53.894,32.849,41.623,28.416,37.978
H,2.0,2048.681,2162.237,2349.188,2270.982,2483.246
L,0.0,137.836,131.568,117.435,137.965,95.562
L,1.0,225.111,223.211,215.122,292.491,222.215
L,2.0,560.642,502.124,480.104,545.996,463.392
M,0.0,402.614,407.544,354.413,383.095,390.484
M,1.0,205.171,179.365,202.873,190.619,203.229
M,2.0,1118.544,1190.316,1036.023,1147.299,1116.365
