INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,47.683,43.777,46.855,48.114,45.639
1,1.0,102.78,108.443,93.531,89.599,91.631
1,2.0,99.111,99.434,95.957,104.133,99.491
2,0.0,73.387,66.436,82.541,80.207,79.175
2,1.0,62.01,62.156,60.55,61.276,63.148
2,2.0,125.466,114.548,133.859,149.056,146.098
3,0.0,79.627,77.109,74.851,74.287,78.253
3,1.0,50.645,59.03,52.719,45.844,49.168
3,2.0,170.851,163.033,161.679,157.459,178.564
4,0.0,84.235,69.957,60.231,102.212,92.81
4,1.0,48.666,42.489,34.066,61.918,58.149
4,2.0,203.04,182.186,155.197,252.319,235.034
5,0.0,84.356,86.829,87.841,57.903,89.58
5,1.0,41.391,46.876,49.509,21.502,35.856
5,2.0,196.463,234.88,252.782,139.069,219.763
6,0.0,83.052,85.617,88.825,91.444,85.949
6,1.0,36.878,36.854,41.566,40.259,37.77
6,2.0,226.961,215.769,224.96,229.497,229.754
7,0.0,77.421,68.518,65.036,113.748,81.235
7,1.0,35.939,31.573,34.212,51.862,37.058
7,2.0,203.965,185.892,190.78,347.956,242.909
8,0.0,79.865,83.994,98.969,59.182,69.355
8,1.0,39.935,41.418,53.692,28.033,38.732
8,2.0,260.541,265.437,303.146,204.84,243.808
9,0.0,73.595,84.808,85.737,83.773,83.647
9,1.0,25.896,29.181,30.55,30.489,35.886
9,2.0,242.063,272.594,272.586,270.347,281.557
10,0.0,98.652,106.941,110.431,114.951,117.951
10,1.0,15.163,19.506,16.795,20.473,27.539
10,2.0,322.146,333.593,344.294,346.89,338.539
99,0.0,205.856,199.576,192.043,191.254,193.884
99,1.0,111.676,120.233,121.175,117.224,102.403
99,2.0,608.167,599.534,595.133,596.241,596.451
