FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,745.358,737.91,744.438,769.83,771.704
1,1.0,408.502,418.501,424.699,414.643,425.244
1,2.0,2286.182,2304.536,2353.762,2387.225,2412.314
2,0.0,242.371,235.652,248.921,247.245,245.774
2,1.0,162.476,179.258,163.667,153.836,152.095
2,2.0,372.59,362.364,376.611,410.584,399.654
