FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,796.235,774.251,728.396,762.716,780.773
1,1.0,355.02,327.213,341.878,363.977,341.855
1,2.0,3248.103,3361.471,3408.614,3448.962,3567.681
2,0.0,192.985,150.371,142.884,176.86,146.481
2,1.0,129.157,108.212,117.74,147.548,121.567
2,2.0,479.764,493.206,456.701,515.314,495.321
